TransactionID,Date,Time,Company,LocationID,City,FuelType,Quantity_Liters,Price_per_Litre,Total_Amount,PaymentMethod,VehicleType,LoyaltyCardUsed,PumpNumber,EmployeeID
TXN001,03-01-2024,05:44:00,HP,delhi-pump-04,delhi,petrol,26.3,94.46,2484.3,UPI,car,No,3,E-DEL-4
TXN002,04-02-2025,21:08:00,IOCL,pune-pump-01,pune,diesel,42.89,87.57,3755.88,Card,car,Yes,5,E-PUN-3
TXN003,25-08-2024,06:39:00,BPCL,mumbai-pump-02,mumbai,diesel,10.42,88.11,918.11,Card,bike,Yes,1,E-MUM-2
TXN004,05-01-2025,15:20:00,IOCL,bangalore-pump-07,bangalore,petrol,14.49,95.1,1378,Cash,bike,No,2,E-BAN-1
TXN005,09-04-2025,19:52:00,HP,mumbai-pump-02,mumbai,diesel,39.37,87.21,3433.46,Cash,car,No,5,E-MUM-5
TXN006,28-04-2024,10:38:00,BPCL,mumbai-pump-02,mumbai,diesel,13.49,87.55,1181.05,UPI,bike,Yes,4,E-MUM-1
TXN007,24-11-2025,14:31:00,BPCL,chennai-pump-05,chennai,petrol,6.35,94.92,602.74,UPI,bike,Yes,1,E-CHE-4
TXN008,06-11-2025,01:45:00,HP,chennai-pump-03,chennai,petrol,41.2,95.01,3914.41,UPI,car,Yes,1,E-CHE-4
TXN009,06-09-2025,01:46:00,IOCL,delhi-pump-01,delhi,diesel,7.04,87.56,616.42,Cash,bike,No,5,E-DEL-3
TXN010,05-04-2024,20:15:00,IOCL,pune-pump-06,pune,diesel,15.36,88.05,1352.45,Card,car,No,1,E-PUN-5
TXN011,13-10-2025,01:48:00,BPCL,pune-pump-01,pune,diesel,5.16,87.76,452.84,Cash,bike,Yes,1,E-PUN-5
TXN012,18-06-2025,04:48:00,IOCL,pune-pump-06,pune,diesel,14.94,87.33,1304.71,Card,bike,Yes,4,E-PUN-1
TXN013,24-07-2025,21:11:00,BPCL,mumbai-pump-02,mumbai,petrol,40.42,94.75,3829.8,Cash,car,Yes,2,E-MUM-2
TXN014,19-01-2024,05:04:00,BPCL,mumbai-pump-02,mumbai,power petrol,14.46,99.23,1434.87,Cash,bike,Yes,3,E-MUM-5
TXN015,20-06-2025,16:52:00,BPCL,mumbai-pump-02,mumbai,power petrol,14.36,99.88,1434.28,Card,bike,Yes,2,E-MUM-5
TXN016,01-03-2025,02:25:00,IOCL,bangalore-pump-07,bangalore,power petrol,38.15,99.6,3799.74,UPI,car,Yes,2,E-BAN-4
TXN017,01-01-2025,18:44:00,IOCL,delhi-pump-01,delhi,petrol,13.86,95.08,1317.81,Cash,bike,Yes,2,E-DEL-3
TXN018,31-03-2025,13:22:00,HP,bangalore-pump-07,bangalore,diesel,35.4,87.73,3105.64,Card,car,No,5,E-BAN-5
TXN019,13-11-2025,19:16:00,HP,chennai-pump-05,chennai,petrol,32.75,94.55,3096.51,UPI,car,Yes,1,E-CHE-1
TXN020,05-10-2025,17:34:00,IOCL,pune-pump-01,pune,diesel,8.07,88.11,711.05,Card,bike,Yes,1,E-PUN-3
TXN021,11-08-2024,21:30:00,BPCL,delhi-pump-01,delhi,power petrol,13.1,99.58,1304.5,UPI,bike,No,1,E-DEL-4
TXN022,16-05-2025,05:43:00,HP,mumbai-pump-02,mumbai,power petrol,11.45,99.87,1143.51,Cash,bike,Yes,3,E-MUM-3
TXN023,17-05-2025,11:26:00,BPCL,chennai-pump-03,chennai,diesel,7.41,88.05,652.45,Card,bike,No,4,E-CHE-1
TXN024,23-05-2024,02:47:00,IOCL,chennai-pump-05,chennai,power petrol,10.25,99.61,1021,Cash,bike,Yes,3,E-CHE-1
TXN025,20-04-2024,19:31:00,BPCL,delhi-pump-04,delhi,petrol,44.61,95.02,4238.84,Card,car,No,4,E-DEL-3
TXN026,18-06-2025,01:44:00,BPCL,mumbai-pump-02,mumbai,diesel,6.42,87.28,560.34,Cash,bike,No,2,E-MUM-5
TXN027,17-09-2024,13:55:00,BPCL,delhi-pump-01,delhi,power petrol,5.53,99.01,547.53,Cash,bike,Yes,4,E-DEL-4
TXN028,10-01-2024,01:42:00,HP,chennai-pump-03,chennai,petrol,15.56,94.68,1473.22,Card,car,Yes,4,E-CHE-2
TXN029,07-12-2025,09:06:00,HP,bangalore-pump-07,bangalore,diesel,14.89,87.56,1303.77,Card,bike,Yes,4,E-BAN-3
TXN030,04-07-2025,19:41:00,BPCL,pune-pump-06,pune,petrol,6.6,94.68,624.89,Card,bike,No,5,E-PUN-5
TXN031,25-04-2025,20:14:00,IOCL,pune-pump-06,pune,petrol,27.17,94.39,2564.58,UPI,car,Yes,5,E-PUN-3
TXN032,02-02-2024,23:34:00,IOCL,delhi-pump-04,delhi,power petrol,49.12,99.92,4908.07,UPI,car,No,4,E-DEL-5
TXN033,15-04-2024,23:42:00,HP,delhi-pump-04,delhi,petrol,42.16,95.18,4012.79,UPI,car,Yes,2,E-DEL-3
TXN034,20-09-2025,02:08:00,HP,mumbai-pump-04,mumbai,power petrol,44.29,99.63,4412.61,Card,car,No,3,E-MUM-4
TXN035,20-04-2024,15:55:00,HP,delhi-pump-04,delhi,power petrol,38.98,98.97,3857.85,Card,car,No,2,E-DEL-5
TXN036,07-07-2025,00:07:00,BPCL,chennai-pump-05,chennai,diesel,36.17,87.64,3169.94,Cash,car,No,2,E-CHE-4
TXN037,21-06-2025,02:14:00,IOCL,chennai-pump-03,chennai,diesel,11.7,87.92,1028.66,Cash,bike,No,2,E-CHE-2
TXN038,07-09-2025,15:05:00,BPCL,delhi-pump-01,delhi,petrol,47.09,95.19,4482.5,Card,car,No,3,E-DEL-4
TXN039,23-06-2024,03:01:00,HP,delhi-pump-04,delhi,diesel,27.32,87.58,2392.69,Card,car,No,3,E-DEL-2
TXN040,17-09-2024,07:41:00,IOCL,chennai-pump-05,chennai,petrol,11.84,94.6,1120.06,Card,bike,Yes,5,E-CHE-3
TXN041,29-05-2025,15:01:00,BPCL,chennai-pump-03,chennai,petrol,10.66,95.05,1013.23,UPI,bike,Yes,4,E-CHE-3
TXN042,02-01-2024,09:18:00,BPCL,chennai-pump-05,chennai,diesel,49.29,87.77,4326.18,UPI,car,Yes,2,E-CHE-4
TXN043,13-07-2025,19:32:00,BPCL,pune-pump-06,pune,diesel,11.09,88.11,977.14,Card,bike,Yes,3,E-PUN-2
TXN044,08-02-2025,06:42:00,HP,chennai-pump-05,chennai,power petrol,9.06,99.01,897.03,Cash,bike,No,4,E-CHE-3
TXN045,15-05-2025,21:40:00,IOCL,chennai-pump-03,chennai,power petrol,9.83,99.77,980.74,Card,bike,No,1,E-CHE-5
TXN046,31-08-2024,10:04:00,BPCL,chennai-pump-05,chennai,power petrol,13.21,99.35,1312.41,Card,bike,Yes,3,E-CHE-1
TXN047,03-01-2025,21:22:00,IOCL,mumbai-pump-02,mumbai,petrol,10.32,94.75,977.82,UPI,bike,No,1,E-MUM-3
TXN048,24-12-2025,08:56:00,IOCL,delhi-pump-01,delhi,diesel,12.62,87.8,1108.04,Cash,bike,No,5,E-DEL-3
TXN049,15-07-2024,13:35:00,IOCL,chennai-pump-03,chennai,petrol,29.49,94.35,2782.38,Cash,car,Yes,3,E-CHE-3
TXN050,07-11-2024,18:19:00,HP,mumbai-pump-04,mumbai,power petrol,28.46,99.38,2828.35,UPI,car,No,3,E-MUM-3
TXN051,23-09-2025,05:43:00,BPCL,chennai-pump-05,chennai,power petrol,40.96,99.64,4081.25,Cash,car,No,5,E-CHE-2
TXN052,25-03-2025,09:55:00,IOCL,chennai-pump-03,chennai,power petrol,43.87,99.56,4367.7,Card,car,No,5,E-CHE-1
TXN053,08-07-2024,03:18:00,IOCL,pune-pump-06,pune,power petrol,41.12,99.29,4082.8,Card,car,No,1,E-PUN-4
TXN054,05-04-2024,23:43:00,HP,delhi-pump-04,delhi,petrol,45.32,94.88,4299.96,Cash,car,Yes,4,E-DEL-3
TXN055,25-11-2024,22:38:00,IOCL,mumbai-pump-02,mumbai,diesel,18.24,87.64,1598.55,Card,car,No,1,E-MUM-4
TXN056,15-03-2025,01:49:00,HP,pune-pump-06,pune,power petrol,34.38,99.59,3423.9,UPI,car,No,4,E-PUN-2
TXN057,01-02-2025,11:11:00,HP,chennai-pump-03,chennai,diesel,27.76,87.87,2439.27,Cash,car,No,3,E-CHE-3
TXN058,17-09-2024,03:25:00,BPCL,delhi-pump-04,delhi,power petrol,5.99,98.99,592.95,UPI,bike,Yes,2,E-DEL-2
TXN059,15-12-2025,00:23:00,HP,chennai-pump-03,chennai,petrol,19.66,95.2,1871.63,Cash,car,No,1,E-CHE-1
TXN060,09-03-2024,04:15:00,IOCL,delhi-pump-04,delhi,power petrol,19.35,99.83,1931.71,UPI,car,No,4,E-DEL-3
TXN061,30-10-2025,01:15:00,HP,mumbai-pump-02,mumbai,diesel,27.02,88.08,2379.92,Card,car,Yes,2,E-MUM-4
TXN062,16-10-2024,09:14:00,HP,delhi-pump-01,delhi,power petrol,14.76,99.56,1469.51,UPI,bike,Yes,2,E-DEL-5
TXN063,18-11-2025,04:52:00,HP,bangalore-pump-07,bangalore,diesel,12.43,87.99,1093.72,UPI,bike,Yes,3,E-BAN-2
TXN064,24-11-2024,19:49:00,IOCL,bangalore-pump-07,bangalore,power petrol,36.47,99.33,3622.57,Card,car,Yes,3,E-BAN-5
TXN065,24-09-2024,11:44:00,BPCL,chennai-pump-05,chennai,petrol,27.26,95.05,2591.06,UPI,car,Yes,2,E-CHE-2
TXN066,22-08-2025,23:26:00,IOCL,mumbai-pump-04,mumbai,power petrol,17.12,99.43,1702.24,UPI,car,No,2,E-MUM-4
TXN067,29-09-2025,02:19:00,HP,bangalore-pump-07,bangalore,power petrol,14.74,99.33,1464.12,UPI,bike,Yes,5,E-BAN-3
TXN068,01-06-2025,23:58:00,IOCL,pune-pump-01,pune,power petrol,30.12,99.59,2999.65,Card,car,No,2,E-PUN-3
TXN069,02-11-2025,17:37:00,HP,chennai-pump-03,chennai,power petrol,5.62,99.78,560.76,Cash,bike,Yes,5,E-CHE-5
TXN070,05-08-2025,23:47:00,IOCL,mumbai-pump-02,mumbai,petrol,8.24,94.54,779.01,Cash,bike,No,4,E-MUM-2
TXN071,07-01-2025,07:39:00,BPCL,mumbai-pump-02,mumbai,petrol,34.88,94.74,3304.53,UPI,car,No,5,E-MUM-1
TXN072,10-05-2024,04:52:00,HP,bangalore-pump-07,bangalore,petrol,46.57,94.73,4411.58,Cash,car,Yes,1,E-BAN-5
TXN073,28-05-2025,14:36:00,HP,pune-pump-06,pune,diesel,32.02,87.88,2813.92,Card,car,Yes,2,E-PUN-2
TXN074,28-02-2025,00:28:00,HP,mumbai-pump-02,mumbai,power petrol,20.58,99.68,2051.41,UPI,car,Yes,2,E-MUM-5
TXN075,13-10-2024,16:10:00,BPCL,chennai-pump-05,chennai,petrol,7.15,94.81,677.89,Cash,bike,No,5,E-CHE-2
TXN076,24-10-2025,21:41:00,BPCL,bangalore-pump-07,bangalore,petrol,45.01,94.97,4274.6,Cash,car,Yes,4,E-BAN-4
TXN077,16-02-2025,05:40:00,BPCL,pune-pump-06,pune,petrol,32.52,94.81,3083.22,Card,car,No,3,E-PUN-1
TXN078,31-10-2025,11:25:00,IOCL,pune-pump-01,pune,diesel,12.57,87.39,1098.49,UPI,bike,No,1,E-PUN-1
TXN079,17-12-2025,13:56:00,IOCL,delhi-pump-01,delhi,petrol,22.23,95.18,2115.85,Card,car,Yes,4,E-DEL-3
TXN080,14-03-2025,14:17:00,BPCL,bangalore-pump-07,bangalore,petrol,48.57,94.32,4581.12,Card,car,No,4,E-BAN-1
TXN081,14-02-2025,20:06:00,BPCL,bangalore-pump-07,bangalore,diesel,7.87,87.72,690.36,UPI,bike,No,3,E-BAN-2
TXN082,24-08-2025,13:42:00,HP,bangalore-pump-07,bangalore,diesel,41.49,87.71,3639.09,Card,car,No,2,E-BAN-5
TXN083,24-07-2024,18:39:00,IOCL,chennai-pump-03,chennai,diesel,42.13,87.38,3681.32,Card,car,Yes,2,E-CHE-5
TXN084,23-03-2025,00:55:00,IOCL,bangalore-pump-07,bangalore,petrol,47.91,94.96,4549.53,Cash,car,No,5,E-BAN-3
TXN085,22-09-2025,13:13:00,BPCL,pune-pump-01,pune,petrol,12.16,94.25,1146.08,Card,bike,No,5,E-PUN-4
TXN086,19-05-2025,21:59:00,BPCL,chennai-pump-05,chennai,power petrol,6.05,99.4,601.37,UPI,bike,No,2,E-CHE-4
TXN087,17-12-2025,13:27:00,IOCL,bangalore-pump-07,bangalore,petrol,14.37,94.7,1360.84,Card,bike,No,2,E-BAN-1
TXN088,21-12-2025,01:00:00,BPCL,pune-pump-01,pune,power petrol,46.29,99.67,4613.72,UPI,car,No,2,E-PUN-2
TXN089,20-04-2024,10:52:00,IOCL,pune-pump-06,pune,power petrol,13.19,99.36,1310.56,UPI,bike,No,1,E-PUN-2
TXN090,28-12-2024,13:21:00,IOCL,pune-pump-06,pune,diesel,45.04,87.31,3932.44,Cash,car,Yes,3,E-PUN-2
TXN091,23-08-2025,11:46:00,HP,mumbai-pump-02,mumbai,diesel,25.27,87.39,2208.35,UPI,car,No,4,E-MUM-1
TXN092,19-05-2024,08:56:00,BPCL,pune-pump-01,pune,diesel,8.95,87.9,786.71,UPI,bike,No,4,E-PUN-2
TXN093,13-02-2024,15:37:00,BPCL,pune-pump-01,pune,power petrol,41.01,99.04,4061.63,UPI,car,No,2,E-PUN-2
TXN094,04-12-2025,08:30:00,BPCL,chennai-pump-05,chennai,diesel,10.89,88.1,959.41,Cash,bike,No,1,E-CHE-5
TXN095,13-01-2024,15:58:00,HP,delhi-pump-01,delhi,petrol,5.77,94.67,546.25,UPI,bike,Yes,1,E-DEL-1
TXN096,03-06-2025,17:11:00,BPCL,mumbai-pump-04,mumbai,power petrol,29.08,99.9,2905.09,Card,car,Yes,3,E-MUM-1
TXN097,15-03-2024,09:35:00,BPCL,bangalore-pump-07,bangalore,diesel,6.12,87.66,536.48,UPI,bike,No,2,E-BAN-2
TXN098,16-08-2024,07:42:00,HP,chennai-pump-05,chennai,diesel,5.09,87.66,446.19,Card,bike,Yes,4,E-CHE-1
TXN099,08-06-2025,14:52:00,HP,pune-pump-01,pune,petrol,12.75,94.75,1208.06,Card,bike,Yes,3,E-PUN-2
TXN100,07-06-2025,10:54:00,HP,delhi-pump-01,delhi,power petrol,42.16,99.22,4183.12,Cash,car,Yes,5,E-DEL-4
TXN101,09-07-2025,12:00:00,BPCL,delhi-pump-01,delhi,petrol,26.36,94.84,2499.98,UPI,car,No,1,E-DEL-3
TXN102,27-01-2025,21:27:00,IOCL,chennai-pump-03,chennai,power petrol,18.2,99.88,1817.82,UPI,car,Yes,5,E-CHE-5
