Date,Company,FuelType,PaymentMethod,City,Year,Month,Day,DayOfWeek,IsWeekend,IsRepublicDay,DayMean_PriorYears,DayMean_Global,Predicted_Daily_Total_Amount
2026-01-01,BPCL,diesel,Card,bangalore,2026,1,1,3,0,0,993.4040000000001,993.4040000000001,1228.7556
2026-01-01,BPCL,diesel,Card,chennai,2026,1,1,3,0,0,2301.473,2301.473,1883.6902
2026-01-01,BPCL,diesel,Card,delhi,2026,1,1,3,0,0,2874.375,2874.375,3351.0469
2026-01-01,BPCL,diesel,Card,mumbai,2026,1,1,3,0,0,1289.77,1289.77,1652.0575
2026-01-01,BPCL,diesel,Card,pune,2026,1,1,3,0,0,1298.9855555555555,1298.9855555555555,1642.4391
2026-01-01,BPCL,diesel,Cash,bangalore,2026,1,1,3,0,0,1852.3433333333335,1852.3433333333335,1839.7687
2026-01-01,BPCL,diesel,Cash,chennai,2026,1,1,3,0,0,2704.081111111111,2704.081111111111,2892.2063
2026-01-01,BPCL,diesel,Cash,delhi,2026,1,1,3,0,0,3340.53,2138.9655555555555,3293.4685
2026-01-01,BPCL,diesel,Cash,mumbai,2026,1,1,3,0,0,1864.2336363636364,1864.2336363636364,1859.9576
2026-01-01,BPCL,diesel,Cash,pune,2026,1,1,3,0,0,1948.3183333333334,1948.3183333333334,1729.1909
2026-01-01,BPCL,diesel,UPI,bangalore,2026,1,1,3,0,0,2066.0075,2066.0075,1844.8699
2026-01-01,BPCL,diesel,UPI,chennai,2026,1,1,3,0,0,1813.2723076923078,1813.2723076923078,1767.8235
2026-01-01,BPCL,diesel,UPI,delhi,2026,1,1,3,0,0,1679.2490909090907,1679.2490909090907,1854.4404
2026-01-01,BPCL,diesel,UPI,mumbai,2026,1,1,3,0,0,1948.2766666666669,1948.2766666666669,1872.231
2026-01-01,BPCL,diesel,UPI,pune,2026,1,1,3,0,0,1330.9773333333333,1330.9773333333333,1696.1392
2026-01-01,BPCL,petrol,Card,bangalore,2026,1,1,3,0,0,3095.5171428571425,3095.5171428571425,3573.158
2026-01-01,BPCL,petrol,Card,chennai,2026,1,1,3,0,0,720.52,2214.8877777777775,847.1364
2026-01-01,BPCL,petrol,Card,delhi,2026,1,1,3,0,0,2320.816875,2320.816875,2095.594
2026-01-01,BPCL,petrol,Card,mumbai,2026,1,1,3,0,0,1882.6116666666667,1882.6116666666667,1846.9277
2026-01-01,BPCL,petrol,Card,pune,2026,1,1,3,0,0,2420.381,2420.381,1806.2838
