Date,Day,Year,DayOfWeek,Predicted_Total_Amount
2026-01-01,1,2026,3,3702.5452
2026-01-02,2,2026,4,1076.4695
2026-01-03,3,2026,5,2427.0125
2026-01-04,4,2026,6,3372.6277
2026-01-05,5,2026,0,4408.02
2026-01-06,6,2026,1,5432.6484
2026-01-07,7,2026,2,7415.534
2026-01-08,8,2026,3,3267.0066
2026-01-09,9,2026,4,451.51035
2026-01-10,10,2026,5,1844.0243
2026-01-11,11,2026,6,3777.9895
2026-01-12,12,2026,0,9267.764
2026-01-13,13,2026,1,9206.923
2026-01-14,14,2026,2,10980.532
2026-01-15,15,2026,3,10223.267
2026-01-16,16,2026,4,9246.715
2026-01-17,17,2026,5,434.33673
2026-01-18,18,2026,6,3718.584
2026-01-19,19,2026,0,5962.909
2026-01-20,20,2026,1,4280.2915
2026-01-21,21,2026,2,3701.0283
2026-01-22,22,2026,3,3788.3335
2026-01-23,23,2026,4,4685.207
2026-01-24,24,2026,5,4454.9277
2026-01-25,25,2026,6,3315.3481
2026-01-26,26,2026,0,4146.7817
2026-01-27,27,2026,1,2788.8704
2026-01-28,28,2026,2,2436.3982
2026-01-29,29,2026,3,2010.5608
2026-01-30,30,2026,4,4422.2534
