Date,Total_Amount,Day,Year,DayOfWeek
2024-01-01,4061.05,1,2024,0
2024-01-02,4326.18,2,2024,1
2024-01-03,10197.08,3,2024,2
2024-01-04,5632.04,4,2024,3
2024-01-05,5354.86,5,2024,4
2024-01-06,6079.64,6,2024,5
2024-01-07,6695.99,7,2024,6
2024-01-08,4408.34,8,2024,0
2024-01-09,1663.14,9,2024,1
2024-01-10,8396.420000000002,10,2024,2
2024-01-11,3595.8199999999997,11,2024,3
2024-01-12,12561.73,12,2024,4
2024-01-13,4775.54,13,2024,5
2024-01-15,5162.58,15,2024,0
2024-01-17,2113.4,17,2024,2
2024-01-18,6123.65,18,2024,3
2024-01-19,8434.28,19,2024,4
2024-01-20,1845.9,20,2024,5
2024-01-22,6023.860000000001,22,2024,0
2024-01-23,3371.91,23,2024,1
2024-01-24,6066.84,24,2024,2
2024-01-25,2387.81,25,2024,3
2024-01-26,7095.0,26,2024,4
2024-01-29,1045.18,29,2024,0
2024-01-30,1684.68,30,2024,1
2025-01-01,5859.799999999999,1,2025,2
2025-01-03,977.82,3,2025,4
2025-01-04,2309.28,4,2025,5
2025-01-05,4165.08,5,2025,6
2025-01-07,5311.070000000001,7,2025,1
2025-01-09,2309.6499999999996,9,2025,3
2025-01-10,447.0,10,2025,4
2025-01-11,3178.07,11,2025,5
2025-01-15,12071.56,15,2025,2
2025-01-17,1051.2,17,2025,4
2025-01-19,3563.2400000000002,19,2025,6
2025-01-20,5495.46,20,2025,0
2025-01-21,4179.47,21,2025,1
2025-01-22,3154.0699999999997,22,2025,2
2025-01-24,6221.42,24,2025,4
2025-01-25,2857.87,25,2025,5
2025-01-27,2886.66,27,2025,0
2025-01-29,1743.94,29,2025,2
2025-01-30,4617.64,30,2025,3
