Date,Actual_Total_Amount,Predicted_Total_Amount
2025-01-01,5859.799999999999,5884.5483
2025-01-03,977.82,1137.8345
2025-01-04,2309.28,2423.708
2025-01-05,4165.08,4016.6155
2025-01-07,5311.070000000001,5282.5254
2025-01-09,2309.6499999999996,2253.8176
2025-01-10,447.0,683.5878
2025-01-11,3178.07,3081.7957
2025-01-15,12071.56,11574.3955
2025-01-17,1051.2,1118.6721
2025-01-19,3563.2400000000002,3652.2563
2025-01-20,5495.46,5405.816
2025-01-21,4179.47,4165.4424
2025-01-22,3154.0699999999997,3624.382
2025-01-24,6221.42,5821.6826
2025-01-25,2857.87,2753.3564
2025-01-27,2886.66,2945.252
2025-01-29,1743.94,1780.5043
2025-01-30,4617.64,4540.414
