TransactionID,Date,Time,Company,LocationID,City,FuelType,Quantity_Liters,Price_per_Litre,Total_Amount,PaymentMethod,VehicleType,LoyaltyCardUsed,PumpNumber,EmployeeID
TXN001,2024-01-03,05:44:00,HP,delhi-pump-04,delhi,petrol,26.30,94.46,2484.30,UPI,car,No,3,E-DEL-4
TXN002,2025-02-04,21:08:00,IOCL,pune-pump-01,pune,diesel,42.89,87.57,3755.88,Card,car,Yes,5,E-PUN-3
TXN003,2024-08-25,06:39:00,BPCL,mumbai-pump-02,mumbai,diesel,10.42,88.11,918.11,Card,bike,Yes,1,E-MUM-2
TXN004,2025-01-05,15:20:00,IOCL,bangalore-pump-07,bangalore,petrol,14.49,95.10,1378.00,Cash,bike,No,2,E-BAN-1
TXN005,2025-04-09,19:52:00,HP,mumbai-pump-02,mumbai,diesel,39.37,87.21,3433.46,Cash,car,No,5,E-MUM-5
TXN006,2024-04-28,10:38:00,BPCL,mumbai-pump-02,mumbai,diesel,13.49,87.55,1181.05,UPI,bike,Yes,4,E-MUM-1
TXN007,2025-11-24,14:31:00,BPCL,chennai-pump-05,chennai,petrol,6.35,94.92,602.74,UPI,bike,Yes,1,E-CHE-4
TXN008,2025-11-06,01:45:00,HP,chennai-pump-03,chennai,petrol,41.20,95.01,3914.41,UPI,car,Yes,1,E-CHE-4
TXN009,2025-09-06,01:46:00,IOCL,delhi-pump-01,delhi,diesel,7.04,87.56,616.42,Cash,bike,No,5,E-DEL-3
TXN010,2024-04-05,20:15:00,IOCL,pune-pump-06,pune,diesel,15.36,88.05,1352.45,Card,car,No,1,E-PUN-5
TXN011,2025-10-13,01:48:00,BPCL,pune-pump-01,pune,diesel,5.16,87.76,452.84,Cash,bike,Yes,1,E-PUN-5
TXN012,2025-06-18,04:48:00,IOCL,pune-pump-06,pune,diesel,14.94,87.33,1304.71,Card,bike,Yes,4,E-PUN-1
TXN013,2025-07-24,21:11:00,BPCL,mumbai-pump-02,mumbai,petrol,40.42,94.75,3829.80,Cash,car,Yes,2,E-MUM-2
TXN014,2024-01-19,05:04:00,BPCL,mumbai-pump-02,mumbai,power petrol,14.46,99.23,1434.87,Cash,bike,Yes,3,E-MUM-5
TXN015,2025-06-20,16:52:00,BPCL,mumbai-pump-02,mumbai,power petrol,14.36,99.88,1434.28,Card,bike,Yes,2,E-MUM-5
TXN016,2025-03-01,02:25:00,IOCL,bangalore-pump-07,bangalore,power petrol,38.15,99.60,3799.74,UPI,car,Yes,2,E-BAN-4
TXN017,2025-01-01,18:44:00,IOCL,delhi-pump-01,delhi,petrol,13.86,95.08,1317.81,Cash,bike,Yes,2,E-DEL-3
TXN018,2025-03-31,13:22:00,HP,bangalore-pump-07,bangalore,diesel,35.40,87.73,3105.64,Card,car,No,5,E-BAN-5
TXN019,2025-11-13,19:16:00,HP,chennai-pump-05,chennai,petrol,32.75,94.55,3096.51,UPI,car,Yes,1,E-CHE-1
TXN020,2025-10-05,17:34:00,IOCL,pune-pump-01,pune,diesel,8.07,88.11,711.05,Card,bike,Yes,1,E-PUN-3
TXN021,2024-08-11,21:30:00,BPCL,delhi-pump-01,delhi,power petrol,13.10,99.58,1304.50,UPI,bike,No,1,E-DEL-4
TXN022,2025-05-16,05:43:00,HP,mumbai-pump-02,mumbai,power petrol,11.45,99.87,1143.51,Cash,bike,Yes,3,E-MUM-3
TXN023,2025-05-17,11:26:00,BPCL,chennai-pump-03,chennai,diesel,7.41,88.05,652.45,Card,bike,No,4,E-CHE-1
TXN024,2024-05-23,02:47:00,IOCL,chennai-pump-05,chennai,power petrol,10.25,99.61,1021.00,Cash,bike,Yes,3,E-CHE-1
TXN025,2024-04-20,19:31:00,BPCL,delhi-pump-04,delhi,petrol,44.61,95.02,4238.84,Card,car,No,4,E-DEL-3
TXN026,2025-06-18,01:44:00,BPCL,mumbai-pump-02,mumbai,diesel,6.42,87.28,560.34,Cash,bike,No,2,E-MUM-5
TXN027,2024-09-17,13:55:00,BPCL,delhi-pump-01,delhi,power petrol,5.53,99.01,547.53,Cash,bike,Yes,4,E-DEL-4
TXN028,2024-01-10,01:42:00,HP,chennai-pump-03,chennai,petrol,15.56,94.68,1473.22,Card,car,Yes,4,E-CHE-2
TXN029,2025-12-07,09:06:00,HP,bangalore-pump-07,bangalore,diesel,14.89,87.56,1303.77,Card,bike,Yes,4,E-BAN-3
TXN030,2025-07-04,19:41:00,BPCL,pune-pump-06,pune,petrol,6.60,94.68,624.89,Card,bike,No,5,E-PUN-5
TXN031,2025-04-25,20:14:00,IOCL,pune-pump-06,pune,petrol,27.17,94.39,2564.58,UPI,car,Yes,5,E-PUN-3
TXN032,2024-02-02,23:34:00,IOCL,delhi-pump-04,delhi,power petrol,49.12,99.92,4908.07,UPI,car,No,4,E-DEL-5
TXN033,2024-04-15,23:42:00,HP,delhi-pump-04,delhi,petrol,42.16,95.18,4012.79,UPI,car,Yes,2,E-DEL-3
TXN034,2025-09-20,02:08:00,HP,mumbai-pump-04,mumbai,power petrol,44.29,99.63,4412.61,Card,car,No,3,E-MUM-4
