TransactionID,Date,Time,Company,LocationID,City,FuelType,Quantity_Liters,Price_per_Litre,Total_Amount,PaymentMethod,VehicleType,LoyaltyCardUsed,PumpNumber,EmployeeID
TXN001,21-11-2025,05:44:00,HP,Delhi-Pump-04,Delhi,Petrol,26.3,94.46,2484.3,UPI,Car,0,3,E-DEL-4
TXN002,20-07-2024,21:08:00,IOCL,Pune-Pump-01,Pune,Diesel,42.89,87.57,3755.88,Card,Car,1,5,E-PUN-3
TXN003,03-03-2024,06:39:00,BPCL,Mumbai-Pump-02,Mumbai,Diesel,10.42,88.11,918.11,Card,Bike,1,1,E-MUM-2
TXN004,09-10-2024,15:20:00,IOCL,Bangalore-Pump-07,Bangalore,Petrol,14.49,95.1,1378,Cash,Bike,0,2,E-BAN-1
TXN005,12-04-2024,19:52:00,HP,Mumbai-Pump-02,Mumbai,Diesel,39.37,87.21,3433.46,Cash,Car,0,5,E-MUM-5
TXN006,08-04-2024,10:38:00,BPCL,Mumbai-Pump-02,Mumbai,Diesel,13.49,87.55,1181.05,UPI,Bike,1,4,E-MUM-1
TXN007,17-07-2025,14:31:00,BPCL,Chennai-Pump-05,Chennai,Petrol,6.35,94.92,602.74,UPI,Bike,1,1,E-CHE-4
TXN008,28-05-2024,01:45:00,HP,Chennai-Pump-03,Chennai,Petrol,41.2,95.01,3914.41,UPI,Car,1,1,E-CHE-4
TXN009,01-12-2024,01:46:00,IOCL,Delhi-Pump-01,Delhi,Diesel,7.04,87.56,616.42,Cash,Bike,0,5,E-DEL-3
TXN010,12-09-2025,20:15:00,IOCL,Pune-Pump-06,Pune,Diesel,15.36,88.05,1352.45,Card,Car,0,1,E-PUN-5
TXN011,24-11-2025,01:48:00,BPCL,Pune-Pump-01,Pune,Diesel,5.16,87.76,452.84,Cash,Bike,1,1,E-PUN-5
TXN012,10-02-2024,04:48:00,IOCL,Pune-Pump-06,Pune,Diesel,14.94,87.33,1304.71,Card,Bike,1,4,E-PUN-1
TXN013,01-08-2024,21:11:00,BPCL,Mumbai-Pump-02,Mumbai,Petrol,40.42,94.75,3829.8,Cash,Car,1,2,E-MUM-2
TXN014,27-05-2025,05:04:00,BPCL,Mumbai-Pump-02,Mumbai,Power Petrol,14.46,99.23,1434.87,Cash,Bike,1,3,E-MUM-5
TXN015,02-10-2024,16:52:00,BPCL,Mumbai-Pump-02,Mumbai,Power Petrol,14.36,99.88,1434.28,Card,Bike,1,2,E-MUM-5
TXN016,05-08-2024,02:25:00,IOCL,Bangalore-Pump-07,Bangalore,Power Petrol,38.15,99.6,3799.74,UPI,Car,1,2,E-BAN-4
TXN017,30-08-2025,18:44:00,IOCL,Delhi-Pump-01,Delhi,Petrol,13.86,95.08,1317.81,Cash,Bike,1,2,E-DEL-3
TXN018,05-06-2024,13:22:00,HP,Bangalore-Pump-07,Bangalore,Diesel,35.4,87.73,3105.64,Card,Car,0,5,E-BAN-5
TXN019,31-07-2024,19:16:00,HP,Chennai-Pump-05,Chennai,Petrol,32.75,94.55,3096.51,UPI,Car,1,1,E-CHE-1
TXN020,11-08-2025,17:34:00,IOCL,Pune-Pump-01,Pune,Diesel,8.07,88.11,711.05,Card,Bike,1,1,E-PUN-3
TXN021,10-11-2024,21:30:00,BPCL,Delhi-Pump-01,Delhi,Power Petrol,13.1,99.58,1304.5,UPI,Bike,0,1,E-DEL-4
TXN022,08-04-2024,05:43:00,HP,Mumbai-Pump-02,Mumbai,Power Petrol,11.45,99.87,1143.51,Cash,Bike,1,3,E-MUM-3
TXN023,30-10-2025,11:26:00,BPCL,Chennai-Pump-03,Chennai,Diesel,7.41,88.05,652.45,Card,Bike,0,4,E-CHE-1
TXN024,27-03-2025,02:47:00,IOCL,Chennai-Pump-05,Chennai,Power Petrol,10.25,99.61,1021,Cash,Bike,1,3,E-CHE-1
TXN025,01-12-2025,19:31:00,BPCL,Delhi-Pump-04,Delhi,Petrol,44.61,95.02,4238.84,Card,Car,0,4,E-DEL-3
TXN026,10-08-2024,01:44:00,BPCL,Mumbai-Pump-02,Mumbai,Diesel,6.42,87.28,560.34,Cash,Bike,0,2,E-MUM-5
TXN027,09-07-2024,13:55:00,BPCL,Delhi-Pump-01,Delhi,Power Petrol,5.53,99.01,547.53,Cash,Bike,1,4,E-DEL-4
TXN028,13-12-2025,01:42:00,HP,Chennai-Pump-03,Chennai,Petrol,15.56,94.68,1473.22,Card,Car,1,4,E-CHE-2
TXN029,17-11-2025,09:06:00,HP,Bangalore-Pump-07,Bangalore,Diesel,14.89,87.56,1303.77,Card,Bike,1,4,E-BAN-3
TXN030,28-07-2024,19:41:00,BPCL,Pune-Pump-06,Pune,Petrol,6.6,94.68,624.89,Card,Bike,0,5,E-PUN-5
TXN031,13-10-2025,20:14:00,IOCL,Pune-Pump-06,Pune,Petrol,27.17,94.39,2564.58,UPI,Car,1,5,E-PUN-3
TXN032,29-01-2025,23:34:00,IOCL,Delhi-Pump-04,Delhi,Power Petrol,49.12,99.92,4908.07,UPI,Car,0,4,E-DEL-5
